model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Linear SVM,0.93875,0.9388185654008439,0.93875,0.9387476073284113,0.9387476073284113
SGD Linear Classifier,0.9325,0.9325432543254326,0.9325,0.9324983124578115,0.9324983124578113
Logistic Regression,0.92125,0.9212526328289552,0.92125,0.9212498769529327,0.9212498769529327
Multinomial Naive Bayes,0.84625,0.8718744755831516,0.84625,0.8435549902619341,0.843554990261934
Complement Naive Bayes,0.84625,0.8718744755831516,0.84625,0.8435549902619341,0.843554990261934
