model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
SGD Linear Classifier,0.795,0.7951180472188875,0.795,0.794979497949795,0.7949794979497949
Linear SVM,0.7939583333333333,0.7940139203401476,0.7939583333333333,0.7939485941848554,0.7939485941848553
Logistic Regression,0.79375,0.7940001042553562,0.79375,0.7937061267370231,0.793706126737023
Multinomial Naive Bayes,0.73125,0.7477862936230375,0.73125,0.7266900898674058,0.7266900898674059
Complement Naive Bayes,0.73125,0.7477862936230375,0.73125,0.7266900898674058,0.7266900898674059
