model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
SGD Linear Classifier,0.93125,0.9378200369291683,0.93125,0.9309911088317265,0.9309911088317264
Linear SVM,0.925,0.9323059709083512,0.925,0.9246817805227084,0.9246817805227084
Logistic Regression,0.8575,0.8687943262411348,0.8574999999999999,0.8564005668398678,0.8564005668398678
Multinomial Naive Bayes,0.77875,0.7939645001614828,0.77875,0.7758497053278436,0.7758497053278436
Complement Naive Bayes,0.77875,0.7939645001614828,0.77875,0.7758497053278436,0.7758497053278436
