experiment,setup,control,sample,best_model,accuracy_percent,macro_f1_percent,purpose,results_file
Baseline random split,Random train/test split,No prompt or length control,Balanced Human vs AI sample,SGD Linear Classifier,79.5,79.5,Initial baseline,classification_results.csv
Prompt matched,Human and AI texts use the same prompts,Controls prompt/topic differences,"4,000 rows; 2,000 Human and 2,000 AI; 171 shared prompts",SGD Linear Classifier,98.88,98.87,Check whether the model is only learning topic differences,prompt_matched_classification_results.csv
Word-count matched,Human and AI texts have similar word counts,Controls text length differences,"4,000 rows; 65 word-count bins; Human mean 786.51, AI mean 786.73",Linear SVM,93.88,93.87,Check whether the model is relying on text length,word_count_matched_classification_results.csv
Prompt + word-count matched,Same prompts and similar word-count ranges,Controls both topic and length,"4,000 rows; 45 prompts; 41 word-count bins; Human mean 447.90, AI mean 447.89",Linear SVM,95.25,95.25,Stronger controlled comparison,prompt_and_word_count_matched_classification_results.csv
Unseen-prompt test,Train prompts and test prompts do not overlap,Tests generalization to new writing tasks,"3,200 train rows from 91 prompts; 800 test rows from 80 unseen prompts",SGD Linear Classifier,93.12,93.1,Check whether performance holds on prompts not seen during training,unseen_prompt_classification_results.csv
