model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Multinomial Naive Bayes,0.5963333333333334,0.5964929111655319,0.5963333333333334,0.5961663705627627,0.5961663705627627
Complement Naive Bayes,0.5963333333333334,0.5964929111655319,0.5963333333333334,0.5961663705627627,0.5961663705627627
Linear SVM,0.5653333333333334,0.5684078560140278,0.5653333333333334,0.5603939194118448,0.5603939194118448
SGD Linear Classifier,0.5653333333333334,0.5687415709740353,0.5653333333333334,0.5598779718924932,0.5598779718924932
Logistic Regression,0.55,0.5671467009184475,0.55,0.5193127097517565,0.5193127097517565
